Protocol,Run_ID,Response_ID,Model,Provider,Task,Split,Instruction,Item,Condition,Repeat,Paraphrase,Block_ID,Generation_Seed,Request_Order,Schedule_Seed,Seed_Sent,Request_Ordering,Temperature,Max_Tokens,Extra_Body_JSON,Timestamp_UTC,Prompt,Response,Status,Error,Finish_Reason,Returned_Model,System_Fingerprint,Usage_JSON,Source_File,Parsed_Words,Valid_Word_Count,List_Count,Scorable,Validation,DAT_GloVe_Score,DAT_MPNet_Proxy,Rarity_Score,Frequency_Coverage
creativity-v2,20260923T102125_53651288,20260923T102125_53651288:0,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Divergent Association Task,pilot,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",,Standard,0,0,|p0|r0,421779131,0,42,False,fixed,0.7,4096,{},2026-09-23T10:21:25.933348+00:00,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.","1. Galaxy
2. Saffron
3. Submarine
4. Piano
5. Glacier
6. Perfume
7. Llama
8. Microchip
9. Fountain
10. Quilt",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 47, ""prompt_tokens"": 78, ""total_tokens"": 125, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_divergent_association_task_20260923T102125_53651288.csv,"['galaxy', 'saffron', 'submarine', 'piano', 'glacier', 'perfume', 'llama', 'microchip', 'fountain', 'quilt']",10,10,True,dictionary,87.91736602783203,,,0.0
creativity-v2,20260923T102125_53651288,20260923T102125_53651288:1,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Divergent Association Task,pilot,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",,Conventional,0,0,|p0|r0,421779131,1,42,False,fixed,0.7,4096,{},2026-09-23T10:21:28.297793+00:00,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Be conventional.","1. Galaxy
2. Saddle
3. Pineapple
4. Submarine
5. Guitar
6. Snowflake
7. Perfume
8. Lighthouse
9. Quilt
10. Fungus",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 49, ""prompt_tokens"": 81, ""total_tokens"": 130, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_divergent_association_task_20260923T102125_53651288.csv,"['galaxy', 'saddle', 'pineapple', 'submarine', 'guitar', 'snowflake', 'perfume', 'lighthouse', 'quilt', 'fungus']",10,10,True,dictionary,85.89939880371094,,,0.0
creativity-v2,20260923T102125_53651288,20260923T102125_53651288:2,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Divergent Association Task,pilot,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",,Effective,0,0,|p0|r0,421779131,2,42,False,fixed,0.7,4096,{},2026-09-23T10:21:29.574310+00:00,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Be effective.","1. Galaxy
2. Salsa
3. Submarine
4. Pineapple
5. Guitar
6. Snowflake
7. Perfume
8. Lighthouse
9. Quilt
10. Fungus",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 49, ""prompt_tokens"": 81, ""total_tokens"": 130, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_divergent_association_task_20260923T102125_53651288.csv,"['galaxy', 'salsa', 'submarine', 'pineapple', 'guitar', 'snowflake', 'perfume', 'lighthouse', 'quilt', 'fungus']",10,10,True,dictionary,84.03137969970703,,,0.0
creativity-v2,20260923T102125_53651288,20260923T102125_53651288:3,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Divergent Association Task,pilot,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",,Boring,0,0,|p0|r0,421779131,3,42,False,fixed,0.7,4096,{},2026-09-23T10:21:30.494719+00:00,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Be boring.","1. Cloud
2. Guitar
3. Pineapple
4. Submarine
5. Glacier
6. Typewriter
7. Fjord
8. Saffron
9. Llama
10. Microscope",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 49, ""prompt_tokens"": 81, ""total_tokens"": 130, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_divergent_association_task_20260923T102125_53651288.csv,"['cloud', 'guitar', 'pineapple', 'submarine', 'glacier', 'typewriter', 'fjord', 'saffron', 'llama', 'microscope']",10,10,True,dictionary,85.11402893066406,,,0.0
creativity-v2,20260923T102125_53651288,20260923T102125_53651288:4,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Divergent Association Task,pilot,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",,Creative,0,0,|p0|r0,421779131,4,42,False,fixed,0.7,4096,{},2026-09-23T10:21:31.959971+00:00,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Be creative.","1. Glacier
2. Sitar
3. Fungus
4. Submarine
5. Quilt
6. Llama
7. Microchip
8. Starfish
9. Piano
10. Lighthouse",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 49, ""prompt_tokens"": 81, ""total_tokens"": 130, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_divergent_association_task_20260923T102125_53651288.csv,"['glacier', 'sitar', 'fungus', 'submarine', 'quilt', 'llama', 'microchip', 'starfish', 'piano', 'lighthouse']",10,10,True,dictionary,90.1455078125,,,0.0
creativity-v2,20260923T102125_53651288,20260923T102125_53651288:5,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Divergent Association Task,pilot,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",,Standard,1,0,|p0|r1,1389170942,5,42,False,fixed,0.7,4096,{},2026-09-23T10:21:34.929181+00:00,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.","1. Galaxy
2. Saffron
3. Submarine
4. Piano
5. Glacier
6. Perfume
7. Llama
8. Microchip
9. Fountain
10. Saddle",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 47, ""prompt_tokens"": 78, ""total_tokens"": 125, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_divergent_association_task_20260923T102125_53651288.csv,"['galaxy', 'saffron', 'submarine', 'piano', 'glacier', 'perfume', 'llama', 'microchip', 'fountain', 'saddle']",10,10,True,dictionary,87.91736602783203,,,0.0
creativity-v2,20260923T102125_53651288,20260923T102125_53651288:6,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Divergent Association Task,pilot,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",,Conventional,1,0,|p0|r1,1389170942,6,42,False,fixed,0.7,4096,{},2026-09-23T10:21:35.728879+00:00,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Be conventional.","1. Castle
2. Pineapple
3. Submarine
4. Guitar
5. Snowflake
6. Perfume
7. Llama
8. Microchip
9. Parachute
10. Fjord",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 50, ""prompt_tokens"": 81, ""total_tokens"": 131, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_divergent_association_task_20260923T102125_53651288.csv,"['castle', 'pineapple', 'submarine', 'guitar', 'snowflake', 'perfume', 'llama', 'microchip', 'parachute', 'fjord']",10,10,True,dictionary,85.32081604003906,,,0.0
creativity-v2,20260923T102125_53651288,20260923T102125_53651288:7,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Divergent Association Task,pilot,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",,Effective,1,0,|p0|r1,1389170942,7,42,False,fixed,0.7,4096,{},2026-09-23T10:21:37.803012+00:00,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Be effective.","1. Quasar
2. Saffron
3. Glacier
4. Piano
5. Submarine
6. Fungus
7. Llama
8. Microchip
9. Fountain
10. Saddle",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 49, ""prompt_tokens"": 81, ""total_tokens"": 130, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_divergent_association_task_20260923T102125_53651288.csv,"['quasar', 'saffron', 'glacier', 'piano', 'submarine', 'fungus', 'llama', 'microchip', 'fountain', 'saddle']",10,10,True,dictionary,89.55561828613281,,,0.0
creativity-v2,20260923T102125_53651288,20260923T102125_53651288:8,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Divergent Association Task,pilot,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",,Boring,1,0,|p0|r1,1389170942,8,42,False,fixed,0.7,4096,{},2026-09-23T10:21:38.744481+00:00,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Be boring.","1. Cloud
2. Piano
3. Submarine
4. Cabbage
5. Glacier
6. Perfume
7. Llama
8. Microchip
9. Fountain
10. Saddle",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 46, ""prompt_tokens"": 81, ""total_tokens"": 127, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_divergent_association_task_20260923T102125_53651288.csv,"['cloud', 'piano', 'submarine', 'cabbage', 'glacier', 'perfume', 'llama', 'microchip', 'fountain', 'saddle']",10,10,True,dictionary,87.61555480957031,,,0.0
creativity-v2,20260923T102125_53651288,20260923T102125_53651288:9,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Divergent Association Task,pilot,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.",,Creative,1,0,|p0|r1,1389170942,9,42,False,fixed,0.7,4096,{},2026-09-23T10:21:39.528005+00:00,"Name 10 different single English nouns that are as semantically unrelated and distant from each other as possible. Provide only a numbered list (1-10) of single words with no explanations, sentences, or categories.
Be creative.","1. Glacier
2. Sitar
3. Fungus
4. Submarine
5. Quilt
6. Gargoyle
7. Nebula
8. Tornado
9. Saffron
10. Microchip",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 52, ""prompt_tokens"": 81, ""total_tokens"": 133, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_divergent_association_task_20260923T102125_53651288.csv,"['glacier', 'sitar', 'fungus', 'submarine', 'quilt', 'gargoyle', 'nebula', 'tornado', 'saffron', 'microchip']",10,10,True,dictionary,89.26424407958984,,,0.0
