Model,Task,Instruction,Item,Condition,Prompt,Response,Short_Model,Parsed_Ideas,Originality_Score,Rarity_Score,Parsed_Words
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Doorstop,0.788390040397644,0.9333333333333333,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Press for dried flowers,0.9501327276229858,0.9777777777777777,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Shelf riser,0.8638511896133423,0.9833333333333333,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Laptop stand,0.8905052542686462,0.9888888888888889,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Secret safe,0.7649958729743958,0.9833333333333333,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Painting canvas,0.8244991302490234,0.9944444444444445,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Yoga block,0.8674538731575012,0.9888888888888889,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Table leveler,0.9591026306152344,0.9944444444444445,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Paperweight,0.7166880369186401,0.9444444444444444,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Texture stamp for clay,0.9331583380699158,0.9944444444444445,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be creative.","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Hidden safe
5. Yoga block
6. Improvised hammer
7. Laptop stand
8. Pasta drying rack
9. Leveling shim for furniture
10. Art canvas",gemma-4-31b-it,Doorstop,0.788390040397644,0.9333333333333333,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be creative.","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Hidden safe
5. Yoga block
6. Improvised hammer
7. Laptop stand
8. Pasta drying rack
9. Leveling shim for furniture
10. Art canvas",gemma-4-31b-it,Press for dried flowers,0.9501327276229858,0.9777777777777777,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be creative.","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Hidden safe
5. Yoga block
6. Improvised hammer
7. Laptop stand
8. Pasta drying rack
9. Leveling shim for furniture
10. Art canvas",gemma-4-31b-it,Shelf riser,0.8638511896133423,0.9833333333333333,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be creative.","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Hidden safe
5. Yoga block
6. Improvised hammer
7. Laptop stand
8. Pasta drying rack
9. Leveling shim for furniture
10. Art canvas",gemma-4-31b-it,Hidden safe,0.7927619218826294,0.9833333333333333,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be creative.","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Hidden safe
5. Yoga block
6. Improvised hammer
7. Laptop stand
8. Pasta drying rack
9. Leveling shim for furniture
10. Art canvas",gemma-4-31b-it,Yoga block,0.8674538731575012,0.9888888888888889,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be creative.","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Hidden safe
5. Yoga block
6. Improvised hammer
7. Laptop stand
8. Pasta drying rack
9. Leveling shim for furniture
10. Art canvas",gemma-4-31b-it,Improvised hammer,0.8706408143043518,0.9944444444444445,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be creative.","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Hidden safe
5. Yoga block
6. Improvised hammer
7. Laptop stand
8. Pasta drying rack
9. Leveling shim for furniture
10. Art canvas",gemma-4-31b-it,Laptop stand,0.8905052542686462,0.9888888888888889,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be creative.","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Hidden safe
5. Yoga block
6. Improvised hammer
7. Laptop stand
8. Pasta drying rack
9. Leveling shim for furniture
10. Art canvas",gemma-4-31b-it,Pasta drying rack,0.9214709997177124,0.9944444444444445,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be creative.","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Hidden safe
5. Yoga block
6. Improvised hammer
7. Laptop stand
8. Pasta drying rack
9. Leveling shim for furniture
10. Art canvas",gemma-4-31b-it,Leveling shim for furniture,0.9901328682899475,0.9777777777777777,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be creative.","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Hidden safe
5. Yoga block
6. Improvised hammer
7. Laptop stand
8. Pasta drying rack
9. Leveling shim for furniture
10. Art canvas",gemma-4-31b-it,Art canvas,0.7254749536514282,0.9944444444444445,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be effective.","1. Doorstop
2. Press for dried flowers
3. Laptop riser
4. Leveling shim for furniture
5. Hidden safe
6. Weights for painting canvas
7. Shelf spacer
8. Improvised step stool
9. Pillow support
10. Heat diffuser for hot pans",gemma-4-31b-it,Doorstop,0.7883899211883545,0.9333333333333333,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be effective.","1. Doorstop
2. Press for dried flowers
3. Laptop riser
4. Leveling shim for furniture
5. Hidden safe
6. Weights for painting canvas
7. Shelf spacer
8. Improvised step stool
9. Pillow support
10. Heat diffuser for hot pans",gemma-4-31b-it,Press for dried flowers,0.9501327276229858,0.9777777777777777,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be effective.","1. Doorstop
2. Press for dried flowers
3. Laptop riser
4. Leveling shim for furniture
5. Hidden safe
6. Weights for painting canvas
7. Shelf spacer
8. Improvised step stool
9. Pillow support
10. Heat diffuser for hot pans",gemma-4-31b-it,Laptop riser,0.9185481667518616,0.9944444444444445,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be effective.","1. Doorstop
2. Press for dried flowers
3. Laptop riser
4. Leveling shim for furniture
5. Hidden safe
6. Weights for painting canvas
7. Shelf spacer
8. Improvised step stool
9. Pillow support
10. Heat diffuser for hot pans",gemma-4-31b-it,Leveling shim for furniture,0.9901328682899475,0.9777777777777777,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be effective.","1. Doorstop
2. Press for dried flowers
3. Laptop riser
4. Leveling shim for furniture
5. Hidden safe
6. Weights for painting canvas
7. Shelf spacer
8. Improvised step stool
9. Pillow support
10. Heat diffuser for hot pans",gemma-4-31b-it,Hidden safe,0.7927619218826294,0.9833333333333333,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be effective.","1. Doorstop
2. Press for dried flowers
3. Laptop riser
4. Leveling shim for furniture
5. Hidden safe
6. Weights for painting canvas
7. Shelf spacer
8. Improvised step stool
9. Pillow support
10. Heat diffuser for hot pans",gemma-4-31b-it,Weights for painting canvas,0.9289389252662659,0.9944444444444445,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be effective.","1. Doorstop
2. Press for dried flowers
3. Laptop riser
4. Leveling shim for furniture
5. Hidden safe
6. Weights for painting canvas
7. Shelf spacer
8. Improvised step stool
9. Pillow support
10. Heat diffuser for hot pans",gemma-4-31b-it,Shelf spacer,0.8337727785110474,0.9888888888888889,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be effective.","1. Doorstop
2. Press for dried flowers
3. Laptop riser
4. Leveling shim for furniture
5. Hidden safe
6. Weights for painting canvas
7. Shelf spacer
8. Improvised step stool
9. Pillow support
10. Heat diffuser for hot pans",gemma-4-31b-it,Improvised step stool,0.8841636776924133,0.9833333333333333,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be effective.","1. Doorstop
2. Press for dried flowers
3. Laptop riser
4. Leveling shim for furniture
5. Hidden safe
6. Weights for painting canvas
7. Shelf spacer
8. Improvised step stool
9. Pillow support
10. Heat diffuser for hot pans",gemma-4-31b-it,Pillow support,0.8710263967514038,0.9888888888888889,
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be effective.","1. Doorstop
2. Press for dried flowers
3. Laptop riser
4. Leveling shim for furniture
5. Hidden safe
6. Weights for painting canvas
7. Shelf spacer
8. Improvised step stool
9. Pillow support
10. Heat diffuser for hot pans",gemma-4-31b-it,Heat diffuser for hot pans,0.97794109582901,0.9944444444444445,
