Model,Task,Instruction,Item,Condition,Prompt,Response
qwen/qwen3.6-27b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","
1. Weighted doorstop
2. Temporary stepping stool
3. Coaster for hot mugs
4. Backrest for sitting on the floor
5. Camera tripod base
6. Plant support stake
7. Wedge to keep a drawer open
8. Leveling block for wobbly furniture
9. Screen shade for laptop glare
10. Makeshift fan"
qwen/qwen3.6-27b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be creative.","
1. Doorstop for heavy wooden doors
2. Stepping stone for reaching high shelves
3. Weight for holding down loose papers in wind
4. Makeshift paint palette for small art projects
5. Coaster for hot mugs to protect table surfaces
6. Barrier to keep cats off countertops
7. Base for stabilizing wobbly chairs
8. Scratch pad for quick notes or doodles
9. Insulator for protecting delicate items during moving
10. Anchor for light decorations on walls"
qwen/qwen3.6-27b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be effective.","
1. Doorstop
2. Cat scratching post
3. Camera tripod
4. Fireplace fire starter
5. Laptop stand
6. Plant support stake
7. Shoe tree
8. Weight for paper weights
9. Firewood
10. Pillow"
qwen/qwen3.6-27b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be boring.","
1. Doorstop
2. Table leg stabilizer
3. Mouse pad
4. Coaster
5. Window weight
6. Floor mat
7. Pillow
8. Steam iron rest
9. Plant pot saucer
10. Paperweight"
qwen/qwen3.6-27b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be conventional.","
1. Doorstop
2. Coaster
3. Plant saucer
4. Paperweight
5. Step stool
6. Pillow wedge
7. Cat scratching post base
8. Laptop riser
9. Heat shield for hot dishes
10. Measuring tool for couch length"
qwen/qwen3.6-27b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork","
1. Guitar string cleaner
2. Meat tenderizer
3. Ice cream scoop
4. Plant aerator
5. Paint brush cleaner
6. Candle wick trimmer
7. Jewelry cleaner
8. Screen door latch
9. Garlic press handle
10. Nail polish remover applicator"
qwen/qwen3.6-27b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork
Condition: Be creative.","
1. Temporarily straightening a tangled earring chain
2. Prying open a stubborn paint can lid
3. Creating a makeshift whisk for small batches of batter
4. Extinguishing a small candle flame by pinching the wick
5. Guiding a loose strand of hair into a ponytail
6. Holding a damp paper towel in place to clean tight corners
7. Acting as a spacer to align stacked plates for storage
8. Releasing trapped air from a vacuum-sealed food bag
9. Holding a hot jar lid steady while unscrewing it
10. Tamping down coffee grounds in a makeshift press"
qwen/qwen3.6-27b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork
Condition: Be effective.","
1. Loosen compacted soil in small potted plants
2. Scrape dried paint or glue from surfaces
3. Create a makeshift whisk for small quantities of batter
4. Pick up small screws or nails without bending down
5. Remove burrs from clothing or upholstery
6. Scrub grime out of textured tile grout
7. Unclog hair from sink drains
8. Create decorative patterns in frosting or clay
9. Separate tangled jewelry chains
10. Test the doneness of baked goods by inserting and checking for residue"
qwen/qwen3.6-27b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork
Condition: Be boring.","
1. A tool for stirring cold oatmeal.
2. A device for checking if ground meat is cooked through.
3. A utensil for eating plain pasta.
4. An implement for picking up broccoli florets.
5. A method for cutting a small piece of bread.
6. A way to separate scrambled eggs in a bowl.
7. A tool for spreading jam on toast.
8. A utensil for eating salad leaves.
9. A device for stirring sugar into hot tea.
10. A tool for lifting a potato from a plate."
qwen/qwen3.6-27b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork
Condition: Be conventional.","
1. Eating food
2. Mixing ingredients in a bowl
3. Whisking eggs
4. Mashing potatoes
5. Flipping food in a pan
6. Holding a piece of food while cutting it
7. Poking holes in meat to tenderize or season it
8. Separating yarn strands
9. Testing if baked goods are done
10. Scraping residue from a plate"
