Model,Task,Instruction,Item,Condition,Prompt,Response
openai/gpt-oss-20b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book

Condition: Provide standard, practical responses.
Do not include introductory or concluding conversational text.","1. Doorstop  
2. Paperweight  
3. Weight for a canvas or frame  
4. Base for a small plant or succulent  
5. Mold for homemade soap or candles  
6. Template for cutting shapes in paper or fabric  
7. Component in a DIY wind chime  
8. Soundproofing filler in a wall cavity  
9. Protective cover for a fragile item during transport  
10. Decorative element in a photo frame or collage"
openai/gpt-oss-20b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book

Condition: Be as creative, original, and imaginative as possible.
Do not include introductory or concluding conversational text.","1. Temporary wind turbine blade  
2. Portable seed bank for future agriculture  
3. Soundproofing panel for underground studios  
4. Solar-powered lantern when wired to a battery  
5. Hidden compartment for emergency tools  
6. DIY weather station data recorder  
7. Seedling starter for vertical gardens  
8. Emergency beacon signal reflector  
9. Artistic kinetic sculpture base  
10. Miniature time capsule for future generations"
openai/gpt-oss-20b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book

Condition: Be as effective, logical, and practical as possible.
Do not include introductory or concluding conversational text.",
openai/gpt-oss-20b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book

Condition: Be as boring, mundane, and uninteresting as possible.
Do not include introductory or concluding conversational text.","1. Doorstop  
2. Paperweight  
3. Coaster  
4. Makeshift bookmark  
5. Weight for a stack of papers  
6. Temporary bookend  
7. Shelving support  
8. Filler for a bookcase  
9. Weight for a picture frame  
10. Simple thickness measuring tool"
openai/gpt-oss-20b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book

Condition: Be as conventional, typical, and standard as possible.
Do not include introductory or concluding conversational text.","1. Bookmark  
2. Paperweight  
3. Doorstop  
4. Bookend  
5. Coaster  
6. Decorative display  
7. Makeshift candle holder  
8. Weight for a paper bag  
9. DIY paper shredder template  
10. Recycled material for art projects"
openai/gpt-oss-20b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork

Condition: Provide standard, practical responses.
Do not include introductory or concluding conversational text.","1. Stir small amounts of powdered sugar or spice blends in a bowl.  
2. Hold a single key or small set of keys when hanging them on a hook.  
3. Use the tines as a makeshift toothpick for gentle oral hygiene.  
4. Gently poke soil in a seedling pot to check moisture and aeration.  
5. Serve as a small lever to pry open a tightly sealed jar lid.  
6. Test the firmness of fruit or vegetables by applying light pressure.  
7. Hold a thin candle wick while trimming or securing it.  
8. Keep a single paperclip or small metal fastener from falling off a surface.  
9. Separate an egg yolk from its white by sliding the fork between them.  
10. Measure small quantities of dry ingredients by filling the tines and leveling the top."
openai/gpt-oss-20b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork

Condition: Be as creative, original, and imaginative as possible.
Do not include introductory or concluding conversational text.","1. Use as a miniature sculpting tool for carving soft clay.  
2. Use as a micro-needle for tattooing tiny patterns.  
3. Use as a DIY snowflake cutter by shaping snow into intricate designs.  
4. Use as a lever to pry open a jammed drawer or door.  
5. Attach a small weight to the tines and use as a makeshift fishing lure.  
6. Fold into a simple compass for navigation in the wilderness.  
7. Slip into a pocket to hold keys or small tools.  
8. Use to clean dust from tiny electronics and keyboards.  
9. Incorporate into a paper lantern as a decorative frame.  
10. Hang from a string to create a minimalist wind chime."
openai/gpt-oss-20b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork

Condition: Be as effective, logical, and practical as possible.
Do not include introductory or concluding conversational text.",
openai/gpt-oss-20b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork

Condition: Be as boring, mundane, and uninteresting as possible.
Do not include introductory or concluding conversational text.","1. Stir a single grain of rice in a bowl.  
2. Pick up a loose nail from a wooden floor.  
3. Hold a small screw while drilling.  
4. Mark a line on a sheet of paper.  
5. Pry open a sealed envelope.  
6. Test the temperature of a liquid by dipping the tines.  
7. Keep a small plant pot upright in a potting mix.  
8. Hold a loose tooth in a dental setting.  
9. Lift a single piece of fruit from a cutting board.  
10. Use as a makeshift paperclip for two sheets."
openai/gpt-oss-20b,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork

Condition: Be as conventional, typical, and standard as possible.
Do not include introductory or concluding conversational text.","1. Stir soup or stew  
2. Open a bottle cap  
3. Pick up hot skewers or grill items  
4. Press a seed into soil  
5. Remove burrs from a garden  
6. Hold a piece of bread while buttering  
7. Measure sugar or flour  
8. Hold a candle in a holder  
9. Stir coffee or tea  
10. Use as tongs to pick up small items like crabs"
