Protocol,Run_ID,Response_ID,Model,Provider,Task,Split,Instruction,Item,Condition,Repeat,Paraphrase,Block_ID,Generation_Seed,Request_Order,Schedule_Seed,Seed_Sent,Request_Ordering,Temperature,Max_Tokens,Extra_Body_JSON,Timestamp_UTC,Prompt,Response,Status,Error,Finish_Reason,Returned_Model,System_Fingerprint,Usage_JSON,Source_File,Idea_Count,Unique_Idea_Count,Format_Valid,Semantic_Distance_Proxy,DB_Rarity_Score,Relative_Novelty_ICF,Embedding_Model,DB_Match_Threshold,DBSCAN_Eps,Norm_DB,Norm_DB_SHA256
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:0,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Standard,0,0,book|p0|r0,1739521691,0,42,False,fixed,0.7,4096,{},2026-09-23T10:22:12.973852+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.","1. Doorstop
2. Paperweight
3. Decoration
4. Gift wrap
5. Kindling
6. Pressing flowers
7. Leveling surface
8. Protecting surfaces
9. Bookend
10. Table centerpiece",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 52, ""prompt_tokens"": 69, ""total_tokens"": 121, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,10,10,True,0.7857315698811471,0.9745296671490593,2.751361806874664,all-mpnet-base-v2,0.75,0.35,C:\Users\julio\Documents\Research Master\Thesis\aut_quality_scored_all.csv,0de6af7bc9a1df91321544628d5c9d82fa9fb1580807b5262efc5b358b0ab0ed
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:1,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Conventional,0,0,book|p0|r0,1739521691,1,42,False,fixed,0.7,4096,{},2026-09-23T10:22:14.658423+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.
Be conventional.","1. Doorstop
2. Paperweight
3. Decorative prop
4. Gift wrap base
5. Table riser
6. Plant stand
7. Shelf filler
8. Wall decoration
9. Step stool
10. Desk organizer",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 53, ""prompt_tokens"": 72, ""total_tokens"": 125, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,10,10,True,0.8167395717434649,0.9687409551374818,2.4231099957572684,all-mpnet-base-v2,0.75,0.35,C:\Users\julio\Documents\Research Master\Thesis\aut_quality_scored_all.csv,0de6af7bc9a1df91321544628d5c9d82fa9fb1580807b5262efc5b358b0ab0ed
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:2,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Effective,0,0,book|p0|r0,1739521691,2,42,False,fixed,0.7,4096,{},2026-09-23T10:22:16.341817+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.
Be effective.","1. Doorstop
2. Paperweight
3. Decorative prop
4. Gift wrap base
5. Pressing flowers
6. Leveling surface
7. Pincushion base
8. Crafting material
9. Table centerpiece
10. Bookshelf decoration",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 58, ""prompt_tokens"": 72, ""total_tokens"": 130, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,10,10,True,0.8385037415625233,0.9732272069464545,2.748082824592365,all-mpnet-base-v2,0.75,0.35,C:\Users\julio\Documents\Research Master\Thesis\aut_quality_scored_all.csv,0de6af7bc9a1df91321544628d5c9d82fa9fb1580807b5262efc5b358b0ab0ed
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:3,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Boring,0,0,book|p0|r0,1739521691,3,42,False,fixed,0.7,4096,{},2026-09-23T10:22:17.384490+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.
Be boring.","1. Doorstop
2. Paperweight
3. Decoration
4. Shelf filler
5. Table leg support
6. Plant stand
7. Wall decoration
8. Dust collector
9. Floor leveler
10. Box filler",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 51, ""prompt_tokens"": 72, ""total_tokens"": 123, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,10,10,True,0.8108973475022715,0.966136034732272,2.793450388653232,all-mpnet-base-v2,0.75,0.35,C:\Users\julio\Documents\Research Master\Thesis\aut_quality_scored_all.csv,0de6af7bc9a1df91321544628d5c9d82fa9fb1580807b5262efc5b358b0ab0ed
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:4,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Creative,0,0,book|p0|r0,1739521691,4,42,False,fixed,0.7,4096,{},2026-09-23T10:22:18.256957+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.
Be creative.","1. Doorstop
2. Pressing flowers
3. Paperweight
4. Kindling
5. Building material for a fort
6. Stepping stool
7. Decorative centerpiece
8. Soundproofing material
9. Bookshelf decoration
10. Birdhouse insulation",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 60, ""prompt_tokens"": 72, ""total_tokens"": 132, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,10,10,True,0.7961442470085364,0.975108538350217,2.759989657652062,all-mpnet-base-v2,0.75,0.35,C:\Users\julio\Documents\Research Master\Thesis\aut_quality_scored_all.csv,0de6af7bc9a1df91321544628d5c9d82fa9fb1580807b5262efc5b358b0ab0ed
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:5,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Standard,1,0,book|p0|r1,270233405,5,42,False,fixed,0.7,4096,{},2026-09-23T10:22:20.883668+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.","1. Doorstop
2. Pressing flowers
3. Decorative centerpiece
4. Bookend
5. Paperweight
6. Gift wrap base
7. Shelf filler
8. Table leveler
9. Kindling
10. Wall decoration",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 54, ""prompt_tokens"": 69, ""total_tokens"": 123, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,10,10,True,0.7698543166068241,0.9709117221418234,2.3214067655896997,all-mpnet-base-v2,0.75,0.35,C:\Users\julio\Documents\Research Master\Thesis\aut_quality_scored_all.csv,0de6af7bc9a1df91321544628d5c9d82fa9fb1580807b5262efc5b358b0ab0ed
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:6,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Conventional,1,0,book|p0|r1,270233405,6,42,False,fixed,0.7,4096,{},2026-09-23T10:22:24.924712+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.
Be conventional.","1. Doorstop
2. Paperweight
3. Decoration
4. Gift wrap
5. Kindling
6. Pressing flowers
7. Leveling surfaces
8. Building a fort
9. Weighing down tarps
10. Creating a barricade",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 58, ""prompt_tokens"": 72, ""total_tokens"": 130, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,10,10,True,0.8220178271970425,0.9767004341534008,3.115524463801003,all-mpnet-base-v2,0.75,0.35,C:\Users\julio\Documents\Research Master\Thesis\aut_quality_scored_all.csv,0de6af7bc9a1df91321544628d5c9d82fa9fb1580807b5262efc5b358b0ab0ed
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:7,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Effective,1,0,book|p0|r1,270233405,7,42,False,fixed,0.7,4096,{},2026-09-23T10:22:27.328452+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.
Be effective.","1. Doorstop
2. Paperweight
3. Decoration
4. Gift wrap
5. Kindling
6. Building material
7. Pressing flowers
8. Soundproofing
9. Stepping stool
10. Bookshelf decoration",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 53, ""prompt_tokens"": 72, ""total_tokens"": 125, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,10,10,True,0.7692879867823244,0.9707670043415341,2.508220010390963,all-mpnet-base-v2,0.75,0.35,C:\Users\julio\Documents\Research Master\Thesis\aut_quality_scored_all.csv,0de6af7bc9a1df91321544628d5c9d82fa9fb1580807b5262efc5b358b0ab0ed
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:8,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Boring,1,0,book|p0|r1,270233405,8,42,False,fixed,0.7,4096,{},2026-09-23T10:22:28.454509+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.
Be boring.","1. Doorstop
2. Paperweight
3. Shelf filler
4. Decorative prop
5. Table leg leveler
6. Bookend
7. Fire starter
8. Gift wrap base
9. Mousepad
10. Step stool",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 54, ""prompt_tokens"": 72, ""total_tokens"": 126, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,10,10,True,0.7826699028125635,0.9688856729377713,2.9712780005423087,all-mpnet-base-v2,0.75,0.35,C:\Users\julio\Documents\Research Master\Thesis\aut_quality_scored_all.csv,0de6af7bc9a1df91321544628d5c9d82fa9fb1580807b5262efc5b358b0ab0ed
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:9,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Creative,1,0,book|p0|r1,270233405,9,42,False,fixed,0.7,4096,{},2026-09-23T10:22:29.829353+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.
Be creative.","1. Doorstop
2. Pressing flowers
3. DIY birdhouse
4. Paperweight
5. Kindling
6. Building material for fort
7. Tool for squashing bugs
8. Decoration for shelf
9. Base for lamp
10. Prop for photography",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 60, ""prompt_tokens"": 72, ""total_tokens"": 132, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,10,10,True,0.8306336546971538,0.9775687409551376,3.064441901424404,all-mpnet-base-v2,0.75,0.35,C:\Users\julio\Documents\Research Master\Thesis\aut_quality_scored_all.csv,0de6af7bc9a1df91321544628d5c9d82fa9fb1580807b5262efc5b358b0ab0ed
