Rating_ID,Item,Parsed_Ideas,Rater_ID,Originality_1_to_5,Usefulness_1_to_5,Valid_Use_0_or_1,Notes
bf22579f3b0adc19f31d,paperclip,Plant marker,,,,,
093a20b5ae287ee2caad,can,Pen holder,,,,,
228937856df4db55b075,fork,Sculpting tool,,,,,
34be71fe5e343c16f8ea,towel,Drop cloth,,,,,
f6400268bed466efafbb,fork,Picture hook,,,,,
17ec14d2a190428df970,fork,Hair accessory,,,,,
d8d4d0edd0cda73c49c2,towel,Cleaning up spills,,,,,
34472094c59862d43952,book,Paperweight,,,,,
983c55692d39d16114b8,book,Kindling,,,,,
63d70ded219a631591f5,book,Bookmark holder,,,,,
5d21a6043a89986bcf45,can,Planter,,,,,
c61449b9bcd0bbaa9070,paperclip,Bookmark,,,,,
0570525bcb4e98bff9d7,paperclip,Cable organizer,,,,,
8e1870b3097b71dad49b,fork,DIY craft tool,,,,,
dfcfab7b5e5a85534ef1,can,Craft project material,,,,,
0bde36fef12c8b8ca9fe,can,Planter,,,,,
f235567906432b527a97,can,Drum,,,,,
64acf37bfa521602e94b,towel,Table runner,,,,,
8d2d9d96eb281afe1360,can,Pen holder,,,,,
a8583a8c8d04aa39789d,can,Shelf decoration,,,,,
8162eabacad16ce5dbd3,book,Step stool,,,,,
66a759814e178e94366f,towel,Photo prop,,,,,
a9b2b8053c6fbd17d22c,can,Gift container,,,,,
b575a42b49677232c0a2,towel,Serving as a drop cloth,,,,,
be58bda6d6e3f788e03e,fork,Plant label,,,,,
c1cc6156d7d737639f64,paperclip,Wind chime component,,,,,
60f296f95081fdcb0feb,book,Building material for a fort,,,,,
0a4fd40c303e305b77ae,paperclip,Wind chime component,,,,,
742a6cb5ee707b632be4,can,Drum,,,,,
a419f6b3cb84fd237995,can,DIY lamp,,,,,
d88b55b72316fb8f1b5c,paperclip,Emergency needle threader,,,,,
56be7b8bf666a05b716c,towel,Dusting furniture,,,,,
39e195fb50dc1c16852a,paperclip,Plant marker,,,,,
a5d214cb8fb289e19453,book,Doorstop,,,,,
0fd59da9392a802c4987,towel,Curtain or room divider,,,,,
cf88130948fecc273090,can,Robot body,,,,,
6b906e142c65b724e417,fork,Jewelry maker,,,,,
8dde713b72901e728c94,towel,Polishing cloth,,,,,
ea563f2a86618e76a3d5,book,Pressing flowers,,,,,
ab37a7e89cc7020d3d18,towel,Insulating pipes,,,,,
5439855f855557f94f8d,fork,Drumstick,,,,,
579749436e15cd8c790c,towel,Securing plants,,,,,
46f18905c08f2d4c8f17,can,Gift container,,,,,
df0723ef080ebd479cc4,paperclip,Bag seal,,,,,
9a6cddc98b224ea45ac7,fork,Cable organizer,,,,,
9ea8435401f8ef71c698,fork,Garden marker,,,,,
5cced4788287c1e6c1cb,paperclip,Cable organizer,,,,,
91978fa428493aa3ce70,towel,Making a makeshift rope,,,,,
194a748a0cd45c2bad83,can,Pen holder,,,,,
96b7e65fe2a333f4cbde,can,Gift container,,,,,
bbc7c97f552d2eb8c3fc,towel,Picnic blanket,,,,,
2a5abadf4f007bcf0846,paperclip,Bag seal,,,,,
b5f30daddfc1d048b4e8,can,Sculpture material,,,,,
7d81bc5b5d5b3b3d4a6c,book,Birdhouse insulation,,,,,
3431a5b8590e03e28af6,paperclip,Plant marker,,,,,
10954105e0bee16cc166,fork,Impromptu microphone stand,,,,,
47800a757b654fa434eb,paperclip,Bag seal,,,,,
