Model,Task,Instruction,Item,Condition,Prompt,Response,Short_Model,Parsed_Ideas,Originality_Score,DB_Rarity_Score,Novelty_Score
google/gemma-4-31b-it,Alternative Uses Task,List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.,Book,Standard,"Task: List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.
Target: Book","
1. Reading
2. Learning
3. Doorstop
4. Pressing flowers
5. Paperweight
6. Notebook
7. Decorative object
8. Pillow support
9. Sketchbook
10. Kindle/Tablet stand",gemma-4-31b-it,Reading,0.47745407,0.9681620839363242,2.5257286443082556
google/gemma-4-31b-it,Alternative Uses Task,List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.,Book,Standard,"Task: List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.
Target: Book","
1. Reading
2. Learning
3. Doorstop
4. Pressing flowers
5. Paperweight
6. Notebook
7. Decorative object
8. Pillow support
9. Sketchbook
10. Kindle/Tablet stand",gemma-4-31b-it,Learning,0.70564955,0.9826338639652678,2.4769384801388235
google/gemma-4-31b-it,Alternative Uses Task,List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.,Book,Standard,"Task: List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.
Target: Book","
1. Reading
2. Learning
3. Doorstop
4. Pressing flowers
5. Paperweight
6. Notebook
7. Decorative object
8. Pillow support
9. Sketchbook
10. Kindle/Tablet stand",gemma-4-31b-it,Doorstop,0.78839004,0.9175108538350217,3.036554268074246
google/gemma-4-31b-it,Alternative Uses Task,List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.,Book,Standard,"Task: List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.
Target: Book","
1. Reading
2. Learning
3. Doorstop
4. Pressing flowers
5. Paperweight
6. Notebook
7. Decorative object
8. Pillow support
9. Sketchbook
10. Kindle/Tablet stand",gemma-4-31b-it,Pressing flowers,0.9147901,0.9985528219971056,4.422848629194137
google/gemma-4-31b-it,Alternative Uses Task,List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.,Book,Standard,"Task: List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.
Target: Book","
1. Reading
2. Learning
3. Doorstop
4. Pressing flowers
5. Paperweight
6. Notebook
7. Decorative object
8. Pillow support
9. Sketchbook
10. Kindle/Tablet stand",gemma-4-31b-it,Paperweight,0.71668804,0.9435600578871202,2.882403588246988
google/gemma-4-31b-it,Alternative Uses Task,List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.,Book,Standard,"Task: List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.
Target: Book","
1. Reading
2. Learning
3. Doorstop
4. Pressing flowers
5. Paperweight
6. Notebook
7. Decorative object
8. Pillow support
9. Sketchbook
10. Kindle/Tablet stand",gemma-4-31b-it,Notebook,0.65011346,0.9898697539797395,5.521460917862246
google/gemma-4-31b-it,Alternative Uses Task,List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.,Book,Standard,"Task: List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.
Target: Book","
1. Reading
2. Learning
3. Doorstop
4. Pressing flowers
5. Paperweight
6. Notebook
7. Decorative object
8. Pillow support
9. Sketchbook
10. Kindle/Tablet stand",gemma-4-31b-it,Decorative object,0.77538145,0.9580318379160637,2.8134107167600364
google/gemma-4-31b-it,Alternative Uses Task,List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.,Book,Standard,"Task: List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.
Target: Book","
1. Reading
2. Learning
3. Doorstop
4. Pressing flowers
5. Paperweight
6. Notebook
7. Decorative object
8. Pillow support
9. Sketchbook
10. Kindle/Tablet stand",gemma-4-31b-it,Pillow support,0.8710264,0.9942112879884226,3.7297014486341915
google/gemma-4-31b-it,Alternative Uses Task,List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.,Book,Standard,"Task: List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.
Target: Book","
1. Reading
2. Learning
3. Doorstop
4. Pressing flowers
5. Paperweight
6. Notebook
7. Decorative object
8. Pillow support
9. Sketchbook
10. Kindle/Tablet stand",gemma-4-31b-it,Sketchbook,0.5287907,0.9956584659913169,5.521460917862246
google/gemma-4-31b-it,Alternative Uses Task,List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.,Book,Standard,"Task: List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.
Target: Book","
1. Reading
2. Learning
3. Doorstop
4. Pressing flowers
5. Paperweight
6. Notebook
7. Decorative object
8. Pillow support
9. Sketchbook
10. Kindle/Tablet stand",gemma-4-31b-it,Kindle/Tablet stand,0.7695402,0.9913169319826338,4.8283137373023015
google/gemma-4-31b-it,Alternative Uses Task,List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.,Book,Creative,"Task: List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.
Target: Book
Condition: Be creative.","
1. Doorstop
2. Press for dried flowers
3. Platform for a monitor
4. Secret hiding spot for valuables
5. Weight for baking dough
6. Prop for a painting canvas
7. Improvised step stool
8. Decorative coffee table centerpiece
9. Heat diffuser for a pot
10. Paperweight for blueprints",gemma-4-31b-it,Doorstop,0.78839004,0.9175108538350217,3.036554268074246
google/gemma-4-31b-it,Alternative Uses Task,List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.,Book,Creative,"Task: List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.
Target: Book
Condition: Be creative.","
1. Doorstop
2. Press for dried flowers
3. Platform for a monitor
4. Secret hiding spot for valuables
5. Weight for baking dough
6. Prop for a painting canvas
7. Improvised step stool
8. Decorative coffee table centerpiece
9. Heat diffuser for a pot
10. Paperweight for blueprints",gemma-4-31b-it,Press for dried flowers,0.9501327,1.0,4.422848629194137
google/gemma-4-31b-it,Alternative Uses Task,List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.,Book,Creative,"Task: List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.
Target: Book
Condition: Be creative.","
1. Doorstop
2. Press for dried flowers
3. Platform for a monitor
4. Secret hiding spot for valuables
5. Weight for baking dough
6. Prop for a painting canvas
7. Improvised step stool
8. Decorative coffee table centerpiece
9. Heat diffuser for a pot
10. Paperweight for blueprints",gemma-4-31b-it,Platform for a monitor,0.9419462,0.9869753979739508,5.521460917862246
google/gemma-4-31b-it,Alternative Uses Task,List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.,Book,Creative,"Task: List exactly 10 uses for the following object. Provide only a numbered list (1-10) with the use and without explanations.
Target: Book
Condition: Be creative.","
1. Doorstop
2. Press for dried flowers
3. Platform for a monitor
4. Secret hiding spot for valuables
5. Weight for baking dough
6. Prop for a painting canvas
7. Improvised step stool
8. Decorative coffee table centerpiece
9. Heat diffuser for a pot
10. Paperweight for blueprints",gemma-4-31b-it,Secret hiding spot for valuables,0.8605277,0.9971056439942113,5.521460917862246
