Model,Task,Instruction,Item,Condition,Prompt,Response
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book

Condition: Provide standard, practical responses.
Do not include introductory or concluding conversational text.","1. Doorstop
2. Pressing flowers
3. Weighing down papers
4. Bookend alternative
5. DIY shelf filler
6. Plant stand
7. Table leg leveler
8. Paperweight
9. Fire starter
10. Decorative wall prop"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book

Condition: Be as creative, original, and imaginative as possible.
Do not include introductory or concluding conversational text.","1. Birdhouse decoration
2. Press for flower drying
3. DIY lamp base
4. Garden border marker
5. Puppet theater prop
6. Unconventional picture frame
7. Stepping stone for small plants
8. Theatrical costume accessory
9. Sculpture material for collage art
10. Secret compartment creator"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book

Condition: Be as effective, logical, and practical as possible.
Do not include introductory or concluding conversational text.","1. Doorstop
2. Paperweight
3. Shelf decoration
4. Gift wrap
5. Pressing flowers
6. Leveling surface
7. Mice deterrent
8. DIY birdhouse material
9. Fire starter
10. Table centerpiece"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book

Condition: Be as boring, mundane, and uninteresting as possible.
Do not include introductory or concluding conversational text.","1. Holding down a rug
2. Blocking a door from closing
3. Supporting a wobbly table leg
4. Weighing down papers on a desk
5. Filling an empty space on a shelf
6. Serving as a makeshift coaster
7. Propping up a broken keyboard
8. Keeping a window from opening too wide
9. Holding together a stack of folders
10. Leveling a uneven computer monitor"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book

Condition: Be as conventional, typical, and standard as possible.
Do not include introductory or concluding conversational text.","1. Doorstop
2. Paperweight
3. Gift wrap decoration
4. Centerpiece
5. Shelf filler
6. Table leg leveler
7. Photograph prop
8. Wall decoration
9. Desk organizer
10. Coasters"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork

Condition: Provide standard, practical responses.
Do not include introductory or concluding conversational text.","1. Plant label
2. DIY wind chime component
3. Hair styling tool
4. Cable organizer
5. Miniature sculpture tool
6. Gardening marker
7. Precision painting tool
8. Crafting embossing tool
9. Science experiment probe
10. Model building detailer"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork

Condition: Be as creative, original, and imaginative as possible.
Do not include introductory or concluding conversational text.","1. Plant marker in a garden
2. DIY wind chime component
3. Miniature sculpture tool
4. Hair accessory for updos
5. Precision paint scraper
6. Geometric drawing aid
7. Impromptu percussion instrument
8. Model tree branch in dollhouse landscaping
9. Embellishment for handmade jewelry
10. Micro-gardening tool for bonsai trees"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork

Condition: Be as effective, logical, and practical as possible.
Do not include introductory or concluding conversational text.","1. Plant label
2. DIY wind chime component
3. Mini sculpture tool
4. Cable organizer
5. Pencil holder
6. Marking guide for sewing
7. Measuring tool for small spaces
8. Garden weeder
9. Precision painting tool
10. Emergency zipper pull"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork

Condition: Be as boring, mundane, and uninteresting as possible.
Do not include introductory or concluding conversational text.","1. Holding down a piece of paper
2. Propping up a small box
3. Serving as a makeshift bookmark
4. Keeping a door slightly ajar
5. Supporting a sagging cable
6. Holding a small sign in place
7. Keeping a drawer from closing completely
8. Serving as a plant label
9. Marking a page in a catalog
10. Weighing down a lightweight tray"
meta-llama/Llama-3.3-70B-Instruct-Turbo,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork

Condition: Be as conventional, typical, and standard as possible.
Do not include introductory or concluding conversational text.","1. Plant marker
2. DIY wind chime
3. Picture hanger
4. Cord organizer
5. Mini sculpture tool
6. Plant stake
7. Jewelry maker
8. Model making tool
9. Guitar slide
10. Embellishment for craft projects"
