Model,Task,Instruction,Item,Condition,Prompt,Response,Short_Model,Parsed_Ideas,Originality_Score,DB_Rarity_Score,Novelty_Score
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Doorstop,0.78839004,0.0,2.70805020110221
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Press for dried flowers,0.9501327,0.0,3.1135153092103742
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Shelf riser,0.8638512,0.0,2.4203681286504293
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Laptop stand,0.89050525,0.0,2.4203681286504293
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Secret safe,0.7649959,0.0,3.58351893845611
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Painting canvas,0.82449913,0.0,4.499809670330265
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Yoga block,0.8674539,0.0,4.499809670330265
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Table leveler,0.95910263,0.0,2.4203681286504293
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Paperweight,0.71668804,0.0,1.7272209480904839
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Laptop stand
5. Secret safe
6. Painting canvas
7. Yoga block
8. Table leveler
9. Paperweight
10. Texture stamp for clay",gemma-4-31b-it,Texture stamp for clay,0.93315834,0.0,5.19295685089021
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be creative.","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Hidden safe
5. Yoga block
6. Improvised hammer
7. Laptop stand
8. Pasta drying rack
9. Leveling shim for furniture
10. Art canvas",gemma-4-31b-it,Doorstop,0.78839004,0.0,2.70805020110221
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be creative.","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Hidden safe
5. Yoga block
6. Improvised hammer
7. Laptop stand
8. Pasta drying rack
9. Leveling shim for furniture
10. Art canvas",gemma-4-31b-it,Press for dried flowers,0.9501327,0.0,3.1135153092103742
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book
Condition: Be creative.","1. Doorstop
2. Press for dried flowers
3. Shelf riser
4. Hidden safe
5. Yoga block
6. Improvised hammer
7. Laptop stand
8. Pasta drying rack
9. Leveling shim for furniture
10. Art canvas",gemma-4-31b-it,Shelf riser,0.8638512,0.0,2.4203681286504293
