Protocol,Run_ID,Response_ID,Model,Provider,Task,Split,Instruction,Item,Condition,Repeat,Paraphrase,Block_ID,Generation_Seed,Request_Order,Schedule_Seed,Seed_Sent,Request_Ordering,Temperature,Max_Tokens,Extra_Body_JSON,Timestamp_UTC,Prompt,Response,Status,Error,Finish_Reason,Returned_Model,System_Fingerprint,Usage_JSON,Source_File,Parsed_Ideas,Idea_Count,Unique_Idea_Count,Format_Valid,Idea_Index,Item_Key,Semantic_Distance_Proxy,DB_Rarity_Score,Relative_Novelty_ICF,DB_Match_Threshold,DBSCAN_Eps
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:0,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Standard,0,0,book|p0|r0,1739521691,0,42,False,fixed,0.7,4096,{},2026-09-23T10:22:12.973852+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.","1. Doorstop
2. Paperweight
3. Decoration
4. Gift wrap
5. Kindling
6. Pressing flowers
7. Leveling surface
8. Protecting surfaces
9. Bookend
10. Table centerpiece",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 52, ""prompt_tokens"": 69, ""total_tokens"": 121, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,Doorstop,10,10,True,0,book,0.7883900605595366,0.9175108538350217,2.302585092994046,0.75,0.35
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:0,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Standard,0,0,book|p0|r0,1739521691,0,42,False,fixed,0.7,4096,{},2026-09-23T10:22:12.973852+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.","1. Doorstop
2. Paperweight
3. Decoration
4. Gift wrap
5. Kindling
6. Pressing flowers
7. Leveling surface
8. Protecting surfaces
9. Bookend
10. Table centerpiece",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 52, ""prompt_tokens"": 69, ""total_tokens"": 121, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,Paperweight,10,10,True,1,book,0.7166881095478155,0.9435600578871202,2.302585092994046,0.75,0.35
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:0,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Standard,0,0,book|p0|r0,1739521691,0,42,False,fixed,0.7,4096,{},2026-09-23T10:22:12.973852+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.","1. Doorstop
2. Paperweight
3. Decoration
4. Gift wrap
5. Kindling
6. Pressing flowers
7. Leveling surface
8. Protecting surfaces
9. Bookend
10. Table centerpiece",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 52, ""prompt_tokens"": 69, ""total_tokens"": 121, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,Decoration,10,10,True,2,book,0.7356919746132803,0.959479015918958,1.3943265328171548,0.75,0.35
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:0,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Standard,0,0,book|p0|r0,1739521691,0,42,False,fixed,0.7,4096,{},2026-09-23T10:22:12.973852+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.","1. Doorstop
2. Paperweight
3. Decoration
4. Gift wrap
5. Kindling
6. Pressing flowers
7. Leveling surface
8. Protecting surfaces
9. Bookend
10. Table centerpiece",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 52, ""prompt_tokens"": 69, ""total_tokens"": 121, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,Gift wrap,10,10,True,3,book,0.7214895345742955,0.9956584659913169,1.3943265328171548,0.75,0.35
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:0,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Standard,0,0,book|p0|r0,1739521691,0,42,False,fixed,0.7,4096,{},2026-09-23T10:22:12.973852+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.","1. Doorstop
2. Paperweight
3. Decoration
4. Gift wrap
5. Kindling
6. Pressing flowers
7. Leveling surface
8. Protecting surfaces
9. Bookend
10. Table centerpiece",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 52, ""prompt_tokens"": 69, ""total_tokens"": 121, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,Kindling,10,10,True,4,book,0.6500358982765606,0.975397973950796,2.8134107167600364,0.75,0.35
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:0,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Standard,0,0,book|p0|r0,1739521691,0,42,False,fixed,0.7,4096,{},2026-09-23T10:22:12.973852+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.","1. Doorstop
2. Paperweight
3. Decoration
4. Gift wrap
5. Kindling
6. Pressing flowers
7. Leveling surface
8. Protecting surfaces
9. Bookend
10. Table centerpiece",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 52, ""prompt_tokens"": 69, ""total_tokens"": 121, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,Pressing flowers,10,10,True,5,book,0.9147901105650063,0.9985528219971056,2.5257286443082556,0.75,0.35
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:0,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Standard,0,0,book|p0|r0,1739521691,0,42,False,fixed,0.7,4096,{},2026-09-23T10:22:12.973852+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.","1. Doorstop
2. Paperweight
3. Decoration
4. Gift wrap
5. Kindling
6. Pressing flowers
7. Leveling surface
8. Protecting surfaces
9. Bookend
10. Table centerpiece",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 52, ""prompt_tokens"": 69, ""total_tokens"": 121, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,Leveling surface,10,10,True,6,book,0.9906484642111306,0.9681620839363242,4.422848629194137,0.75,0.35
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:0,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Standard,0,0,book|p0|r0,1739521691,0,42,False,fixed,0.7,4096,{},2026-09-23T10:22:12.973852+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.","1. Doorstop
2. Paperweight
3. Decoration
4. Gift wrap
5. Kindling
6. Pressing flowers
7. Leveling surface
8. Protecting surfaces
9. Bookend
10. Table centerpiece",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 52, ""prompt_tokens"": 69, ""total_tokens"": 121, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,Protecting surfaces,10,10,True,7,book,0.9562554472138634,1.0,5.521460917862246,0.75,0.35
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:0,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Standard,0,0,book|p0|r0,1739521691,0,42,False,fixed,0.7,4096,{},2026-09-23T10:22:12.973852+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.","1. Doorstop
2. Paperweight
3. Decoration
4. Gift wrap
5. Kindling
6. Pressing flowers
7. Leveling surface
8. Protecting surfaces
9. Bookend
10. Table centerpiece",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 52, ""prompt_tokens"": 69, ""total_tokens"": 121, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,Bookend,10,10,True,8,book,0.4725390341197614,0.9927641099855282,3.4420193761824107,0.75,0.35
creativity-v2,20260923T102212_92fcf899,20260923T102212_92fcf899:0,meta-llama/Llama-3.3-70B-Instruct-Turbo,together,Alternative Uses Task,pilot,"List exactly 10 uses for the object {item} other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.",book,Standard,0,0,book|p0|r0,1739521691,0,42,False,fixed,0.7,4096,{},2026-09-23T10:22:12.973852+00:00,"List exactly 10 uses for the object book other than its primary use. Provide only a numbered list (1-10), with one use per line and no explanations.","1. Doorstop
2. Paperweight
3. Decoration
4. Gift wrap
5. Kindling
6. Pressing flowers
7. Leveling surface
8. Protecting surfaces
9. Bookend
10. Table centerpiece",ok,,stop,meta-llama/Llama-3.3-70B-Instruct-Turbo,,"{""completion_tokens"": 52, ""prompt_tokens"": 69, ""total_tokens"": 121, ""completion_tokens_details"": null, ""prompt_tokens_details"": null, ""cached_tokens"": 0}",C:\Users\julio\Documents\Research Master\Thesis\outputs\llama-3.3-70b-instruct-turbo\results_alternative_uses_task_20260923T102212_92fcf899.csv,Table centerpiece,10,10,True,9,book,0.9107870651302202,0.9942112879884226,1.3943265328171548,0.75,0.35
