Model,Task,Instruction,Item,Condition,Prompt,Response
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book

Condition: Provide standard, practical responses.
Do not include introductory or concluding conversational text.","1. Doorstop
2. Press for drying flowers
3. Shelf riser
4. Leveling shim for furniture
5. Weight for holding down fabric
6. Temporary tablet stand
7. Protective surface for painting
8. Improvised step stool
9. Screen for a candle
10. Spacer for organizing drawers"
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book

Condition: Be as creative, original, and imaginative as possible.
Do not include introductory or concluding conversational text.","1. Doorstop
2. Press for dried flowers
3. Improvised step stool
4. Secret hollowed-out safe
5. Leveling shim for furniture
6. Canvas for a 3D mixed-media sculpture
7. Heat diffuser for a candle
8. Temporary laptop riser
9. Weight for homemade pasta
10. Birdhouse foundation"
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book

Condition: Be as effective, logical, and practical as possible.
Do not include introductory or concluding conversational text.","1. Doorstop
2. Press for drying flowers
3. Laptop riser
4. Leveling shim for furniture
5. Temporary shelf support
6. Weight for holding down tarps
7. Improvised step stool
8. Protective surface for painting
9. Phone stand
10. Hidden storage compartment"
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book

Condition: Be as boring, mundane, and uninteresting as possible.
Do not include introductory or concluding conversational text.","1. Doorstop
2. Paperweight
3. Shelf spacer
4. Leveling shim
5. Table riser
6. Dust collector
7. Box filler
8. Coaster
9. Screen prop
10. Wedge"
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Book,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Book

Condition: Be as conventional, typical, and standard as possible.
Do not include introductory or concluding conversational text.","1. Doorstop
2. Press for drying flowers
3. Shelf riser
4. Paperweight
5. Pillow substitute
6. Leveling shim for furniture
7. Decorative centerpiece
8. Hidden storage compartment
9. Handrest for writing
10. Screen protector for small electronics"
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Standard,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork

Condition: Provide standard, practical responses.
Do not include introductory or concluding conversational text.","1. Garden trowel
2. Hair styling tool
3. Cake server
4. Pasta portion measurer
5. Fabric scratcher
6. Meat tenderizer
7. Paint stirrer
8. Soap carving tool
9. Decorative plant support
10. Letter opener"
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Creative,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork

Condition: Be as creative, original, and imaginative as possible.
Do not include introductory or concluding conversational text.","1. Garden seed row marker
2. Miniature harp for a dollhouse
3. Texture stamp for pottery clay
4. Improvised hair clip for updos
5. Solder holding jig
6. Pasta portion measuring tool
7. Finger-paint scraping tool
8. Temporary door wedge
9. Bubble-wrap popping device
10. DIY whisk for small amounts of egg"
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Effective,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork

Condition: Be as effective, logical, and practical as possible.
Do not include introductory or concluding conversational text.","1. Garden trowel for small seedlings
2. Pasta portion measuring tool
3. Temporary clothing fastener
4. Texture tool for pottery or clay
5. Hair styling pick
6. Sieve for straining small items from liquid
7. Scraping tool for ice or wax
8. Improvised screwdriver for large screws
9. Guide for straight-line scoring in crafts
10. Support stake for small indoor plants"
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Boring,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork

Condition: Be as boring, mundane, and uninteresting as possible.
Do not include introductory or concluding conversational text.","1. Holding a piece of paper
2. Poking a hole in plastic
3. Scraping a surface
4. Holding a garment
5. Moving a small object
6. Marking a spot in dirt
7. Stirring a liquid
8. Aligning a fabric edge
9. Pressing a button
10. Holding a rubber band"
google/gemma-4-31b-it,Alternative Uses Task,"List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.",Fork,Conventional,"Task: List exactly 10 alternative, uncommon uses for the following object. Provide only a numbered list (1-10), with one use per line and no explanations.
Target: Fork

Condition: Be as conventional, typical, and standard as possible.
Do not include introductory or concluding conversational text.","1. Hair comb
2. Garden trowel
3. Pasta tester
4. Meat tenderizer
5. Cake server
6. Ice cube picker
7. Sieve
8. Scraping tool
9. Holding a phone
10. Cleaning small crevices"
